Time,Major,Minor,RSSI,Accuracy
2025-06-12 12:02:21,2,1,-75,36.98
2025-06-12 12:02:22,2,1,-74,36.19
2025-06-12 12:02:24,2,1,-77,36.47
2025-06-12 12:02:25,2,1,-72,34.57
2025-06-12 12:02:26,2,1,-72,33.02
2025-06-12 12:02:21,2,2,-70,26.12
2025-06-12 12:02:22,2,2,-73,25.98
2025-06-12 12:02:23,2,2,-73,25.86
2025-06-12 12:02:24,2,2,-74,26.00
2025-06-12 12:02:25,2,2,-74,26.14
2025-06-12 12:02:26,2,2,-73,26.00
2025-06-12 12:02:21,2,3,-64,13.37
2025-06-12 12:02:22,2,3,-64,12.40
2025-06-12 12:02:23,2,3,-64,11.64
2025-06-12 12:02:24,2,3,-63,10.80
2025-06-12 12:02:25,2,3,-63,10.13
2025-06-12 12:02:26,2,3,-65,9.96
2025-06-12 12:02:21,2,4,-82,29.45
2025-06-12 12:02:23,2,4,-77,31.57
2025-06-12 12:02:24,2,4,-79,32.63
2025-06-12 12:02:25,2,4,-80,33.85
2025-06-12 12:02:21,2,5,-62,5.36
2025-06-12 12:02:22,2,5,-60,5.23
2025-06-12 12:02:23,2,5,-65,5.61
2025-06-12 12:02:24,2,5,-69,6.24
2025-06-12 12:02:25,2,5,-59,5.75
2025-06-12 12:02:26,2,5,-59,5.40
2025-06-12 12:02:21,2,6,-55,3.39
2025-06-12 12:02:22,2,6,-52,2.82
2025-06-12 12:02:24,2,6,-52,2.47
2025-06-12 12:02:25,2,6,-52,2.13
2025-06-12 12:02:26,2,6,-53,2.06
2025-06-12 12:02:21,2,7,-65,7.73
2025-06-12 12:02:22,2,7,-62,7.41
2025-06-12 12:02:23,2,7,-61,7.00
2025-06-12 12:02:24,2,7,-61,6.68
2025-06-12 12:02:25,2,7,-63,6.70
2025-06-12 12:02:26,2,7,-65,6.94
2025-06-12 12:02:21,2,8,-50,1.64
2025-06-12 12:02:22,2,8,-50,1.53
2025-06-12 12:02:23,2,8,-51,1.51
2025-06-12 12:02:24,2,8,-51,1.50
2025-06-12 12:02:25,2,8,-52,1.54
2025-06-12 12:02:26,2,8,-51,1.52
Summary,2,1,-72,-74
Summary,2,2,-70,-72
Summary,2,3,-63,-63
Summary,2,4,-77,-79
Summary,2,5,-59,-62
Summary,2,6,-52,-52
Summary,2,7,-61,-62
Summary,2,8,-50,-50
